"FFMC","s(FFMC)"
51.2,-0.800521650933348
51.3,-0.798668746319446
51.4,-0.79681227271749
51.5,-0.794952246327412
51.6,-0.793088683349141
51.7,-0.791221599982607
51.8,-0.78935101242774
51.9,-0.78747693688447
52,-0.785599389552727
52.1,-0.783718386632442
52.2,-0.781833944323543
52.3,-0.779946078825962
52.4,-0.778054806339629
52.5,-0.776160143064473
52.6,-0.774262105200425
52.7,-0.772360708947414
52.8,-0.770455970505371
52.9,-0.768547906074225
53,-0.766636531853908
53.1,-0.764721864044348
53.2,-0.762803918845476
53.3,-0.760882712457222
53.4,-0.758958261079516
53.5,-0.757030580912288
53.6,-0.755099688155468
53.7,-0.753165599008986
53.8,-0.751228322654029
53.9,-0.749287812531095
54,-0.747343995499494
54.1,-0.745396798254833
54.2,-0.74344614749272
54.3,-0.741491969908761
54.4,-0.739534192198566
54.5,-0.737572741057741
54.6,-0.735607543181893
54.7,-0.733638525266631
54.8,-0.731665614007561
54.9,-0.729688736100292
55,-0.72770781824043
55.1,-0.725722787123584
55.2,-0.72373356944536
55.3,-0.721740091901366
55.4,-0.719742281187211
55.5,-0.717740063998501
55.6,-0.715733367030843
55.7,-0.713722116979846
55.8,-0.711706240541116
55.9,-0.709685664410262
56,-0.707660315282891
56.1,-0.70563011985461
56.2,-0.703595004821026
56.3,-0.701554896877748
56.4,-0.699509722720383
56.5,-0.697459409044539
56.6,-0.695403882545821
56.7,-0.69334306991984
56.8,-0.691276897862201
56.9,-0.689205293068513
57,-0.687128182234382
57.1,-0.685045492055417
57.2,-0.682957149227225
57.3,-0.680863080445413
57.4,-0.678763212405589
57.5,-0.67665747180336
57.6,-0.674545785334334
57.7,-0.672428079694119
57.8,-0.670304281578322
57.9,-0.66817431768255
58,-0.666038114702411
58.1,-0.663895599333512
58.2,-0.661746698271461
58.3,-0.659591338211866
58.4,-0.657429445850334
58.5,-0.655260947882472
58.6,-0.653085771003888
58.7,-0.65090384191019
58.8,-0.648715087296984
58.9,-0.646519433859879
59,-0.644316808294482
59.1,-0.642107137296401
59.2,-0.639890347561242
59.3,-0.637666365784614
59.4,-0.635435118662124
59.5,-0.63319653288938
59.6,-0.630950535161989
59.7,-0.628697052175558
59.8,-0.626436010625695
59.9,-0.624167337208007
60,-0.621890958618103
60.1,-0.61960680155159
60.2,-0.617314792704074
60.3,-0.615014858771164
60.4,-0.612706926448466
60.5,-0.61039092243159
60.6,-0.608066773416142
60.7,-0.605734406097729
60.8,-0.603393747171959
60.9,-0.60104472333444
61,-0.598687261280779
61.1,-0.596321287706584
61.2,-0.593946729307462
61.3,-0.59156351277902
61.4,-0.589171564816867
61.5,-0.586770812116609
61.6,-0.584361181373854
61.7,-0.58194259928421
61.8,-0.579514992543284
61.9,-0.577078287846684
62,-0.574632411890017
62.1,-0.572177291368891
62.2,-0.569712852978912
62.3,-0.56723902341569
62.4,-0.564755729374831
62.5,-0.562262897551942
62.6,-0.559760454642631
62.7,-0.557248327342507
62.8,-0.554726442347175
62.9,-0.552194726352244
63,-0.549653106053322
63.1,-0.547101508146015
63.2,-0.544539859325932
63.3,-0.541968086288679
63.4,-0.539386115729864
63.5,-0.536793874345096
63.6,-0.53419128882998
63.7,-0.531578285880125
63.8,-0.528954792191139
63.9,-0.526320734458628
64,-0.523676039378201
64.1,-0.521020633645464
64.2,-0.518354443956026
64.3,-0.515677397005493
64.4,-0.512989419489474
64.5,-0.510290437744055
64.6,-0.507580356534063
64.7,-0.504859047188878
64.8,-0.502126378161709
64.9,-0.499382217905764
65,-0.496626434874256
65.1,-0.493858897520394
65.2,-0.491079474297387
65.3,-0.488288033658447
65.4,-0.485484444056781
65.5,-0.482668573945602
65.6,-0.479840291778118
65.7,-0.47699946600754
65.8,-0.474145965087078
65.9,-0.471279657469941
66,-0.46840041160934
66.1,-0.465508095958484
66.2,-0.462602578970584
66.3,-0.45968372909885
66.4,-0.456751414796491
66.5,-0.453805504516718
66.6,-0.450845866712741
66.7,-0.447872369837769
66.8,-0.444884882345013
66.9,-0.441883272687681
67,-0.438867409318986
67.1,-0.435837160692136
67.2,-0.432792395260342
67.3,-0.429732981476813
67.4,-0.42665878779476
67.5,-0.423569682667392
67.6,-0.420465534547919
67.7,-0.417346211889552
67.8,-0.414211583145501
67.9,-0.411061516768974
68,-0.407895881213183
68.1,-0.404714544931338
68.2,-0.401517376376648
