"FFMC","s(FFMC)"
60,-0.359728397797931
60.1,-0.358926466874847
60.2,-0.358120298551936
60.3,-0.357309617352082
60.4,-0.356494147798167
60.5,-0.355673614413075
60.6,-0.354847741719689
60.7,-0.354016254240893
60.8,-0.353178876499569
60.9,-0.352335333018601
61,-0.351485348320872
61.1,-0.350628646929266
61.2,-0.349764953366666
61.3,-0.348893992155954
61.4,-0.348015487820015
61.5,-0.347129164881731
61.6,-0.346234747863986
61.7,-0.345331961289663
61.8,-0.344420529681645
61.9,-0.343500177562816
62,-0.342570629456058
62.1,-0.341631609884256
62.2,-0.340682843370292
62.3,-0.339724054437049
62.4,-0.338754967607412
62.5,-0.337775307404262
62.6,-0.336784798350484
62.7,-0.33578316496896
62.8,-0.334770131782575
62.9,-0.33374542331421
63,-0.33270876408675
63.1,-0.331659878623078
63.2,-0.330598491446076
63.3,-0.329524327078629
63.4,-0.328437110043619
63.5,-0.32733656486393
63.6,-0.326222416062445
63.7,-0.325094388162047
63.8,-0.32395220568562
63.9,-0.322795593156047
64,-0.32162427509621
64.1,-0.320437976028994
64.2,-0.319236420477282
64.3,-0.318019332963956
64.4,-0.3167864380119
64.5,-0.315537460143998
64.6,-0.314272123883132
64.7,-0.312990153752186
64.8,-0.311691274274044
64.9,-0.310375209971587
65,-0.309041685367701
65.1,-0.307690426642146
65.2,-0.306321259387409
65.3,-0.3049341632857
65.4,-0.303529131274257
65.5,-0.302106156290319
65.6,-0.300665231271126
65.7,-0.299206349153918
65.8,-0.297729502875932
65.9,-0.296234685374409
66,-0.294721889586587
66.1,-0.293191108449706
66.2,-0.291642334901005
66.3,-0.290075561877723
66.4,-0.288490782317098
66.5,-0.286887989156371
66.6,-0.285267175332781
66.7,-0.283628333783566
66.8,-0.281971457445965
66.9,-0.280296539257219
67,-0.278603572154566
67.1,-0.276892549075245
67.2,-0.275163462956495
67.3,-0.273416306735556
67.4,-0.271651073349667
67.5,-0.269867755736066
67.6,-0.268066346831994
67.7,-0.266246839574689
67.8,-0.26440922690139
67.9,-0.262553501749337
68,-0.260679657055768
68.1,-0.258787685757923
68.2,-0.256877580793042
68.3,-0.254949335098363
68.4,-0.253002941611124
68.5,-0.251038393268567
68.6,-0.249055683007929
68.7,-0.24705480376645
68.8,-0.245035748481369
68.9,-0.242998510089925
69,-0.240943081529357
69.1,-0.238869455736905
69.2,-0.236777625649808
69.3,-0.234667584205305
69.4,-0.232539324340634
69.5,-0.230392838993035
69.6,-0.228228121099748
69.7,-0.226045163598012
69.8,-0.223843959425065
69.9,-0.221624501518146
70,-0.219386782814496
70.1,-0.217130796251353
70.2,-0.214856534765956
70.3,-0.212563991295544
70.4,-0.210253158777357
70.5,-0.207924030148634
70.6,-0.205576598346614
70.7,-0.203210856308536
70.8,-0.200826796971639
70.9,-0.198424413273163
71,-0.196003698150346
71.1,-0.193564644540428
71.2,-0.191107245380648
71.3,-0.188631493608245
71.4,-0.186137382160458
71.5,-0.183624903974526
71.6,-0.181094051987689
71.7,-0.178544819137186
71.8,-0.175977198360256
71.9,-0.173391182594137
72,-0.17078676477607
72.1,-0.168163937843293
72.2,-0.165522694733046
72.3,-0.162863028382568
72.4,-0.160184931729097
